Point,Corner,C1,L1,C2,L2,Pass/Fail,fc,PhaseMargin,GainMargin
2881.0,nom,8.444e-07,3.2e-05,1.111e-05,0.00011559999999999999,,3.616e3,51.62,23.81
2882.0,nom,8.444e-07,3.2e-05,1.111e-05,0.00011999999999999999,,3.617e3,51.05,24.03
2883.0,nom,8.444e-07,3.2e-05,1.156e-05,0.0001,,3.502e3,52.07,23.51
2884.0,nom,8.444e-07,3.2e-05,1.156e-05,8e-05,,3.472e3,53.41,16.93
2885.0,nom,8.444e-07,3.2e-05,1.156e-05,8.444e-05,,3.478e3,53.11,18.94
2886.0,nom,8.444e-07,3.2e-05,1.156e-05,8.889e-05,,3.488e3,52.87,20.48
2887.0,nom,8.444e-07,3.2e-05,1.156e-05,9.333e-05,,3.492e3,52.52,22.19
2888.0,nom,8.444e-07,3.2e-05,1.156e-05,9.778e-05,,3.499e3,52.2,23.18
2889.0,nom,8.444e-07,3.2e-05,1.156e-05,0.0001022,,3.504e3,51.83,24.11
2890.0,nom,8.444e-07,3.2e-05,1.156e-05,0.00010669999999999999,,3.513e3,51.59,24.19
2891.0,nom,8.444e-07,3.2e-05,1.156e-05,0.0001111,,3.522e3,51.34,24.11
2892.0,nom,8.444e-07,3.2e-05,1.156e-05,0.00011559999999999999,,3.53e3,51.03,24.15
2893.0,nom,8.444e-07,3.2e-05,1.156e-05,0.00011999999999999999,,3.534e3,50.6,24.27
2894.0,nom,8.444e-07,3.2e-05,1.2e-05,0.0001,,3.42e3,51.44,24.33
2895.0,nom,8.444e-07,3.2e-05,1.2e-05,8e-05,,3.394e3,52.84,17.35
2896.0,nom,8.444e-07,3.2e-05,1.2e-05,8.444e-05,,3.397e3,52.49,19.42
2897.0,nom,8.444e-07,3.2e-05,1.2e-05,8.889e-05,,3.404e3,52.2,21.17
2898.0,nom,8.444e-07,3.2e-05,1.2e-05,9.333e-05,,3.411e3,51.93,22.66
2899.0,nom,8.444e-07,3.2e-05,1.2e-05,9.778e-05,,3.416e3,51.62,23.71
2900.0,nom,8.444e-07,3.2e-05,1.2e-05,0.0001022,,3.423e3,51.27,24.53
2901.0,nom,8.444e-07,3.2e-05,1.2e-05,0.00010669999999999999,,3.433e3,51.06,24.45
2902.0,nom,8.444e-07,3.2e-05,1.2e-05,0.0001111,,3.442e3,50.81,24.34
2903.0,nom,8.444e-07,3.2e-05,1.2e-05,0.00011559999999999999,,3.447e3,50.49,24.45
2904.0,nom,8.444e-07,3.2e-05,1.2e-05,0.00011999999999999999,,3.448e3,49.97,24.65
2905.0,nom,8.444e-07,3.378e-05,1e-05,0.0001,,3.807e3,53.59,22.23
2906.0,nom,8.444e-07,3.378e-05,1e-05,8e-05,,3.791e3,55.62,14.49
2907.0,nom,8.444e-07,3.378e-05,1e-05,8.444e-05,,3.779e3,54.78,17.06
2908.0,nom,8.444e-07,3.378e-05,1e-05,8.889e-05,,3.786e3,54.42,19.18
2909.0,nom,8.444e-07,3.378e-05,1e-05,9.333e-05,,3.797e3,54.14,20.54
2910.0,nom,8.444e-07,3.378e-05,1e-05,9.778e-05,,3.806e3,53.87,21.5
2911.0,nom,8.444e-07,3.378e-05,1e-05,0.0001022,,3.813e3,53.49,22.21
2912.0,nom,8.444e-07,3.378e-05,1e-05,0.00010669999999999999,,3.823e3,53.18,22.24
2913.0,nom,8.444e-07,3.378e-05,1e-05,0.0001111,,3.83e3,52.68,22.28
2914.0,nom,8.444e-07,3.378e-05,1e-05,0.00011559999999999999,,3.838e3,52.44,22.12
2915.0,nom,8.444e-07,3.378e-05,1e-05,0.00011999999999999999,,3.846e3,52.04,22.04
2916.0,nom,8.444e-07,3.378e-05,8e-06,0.0001,,4.344e3,56.44,19.94
2917.0,nom,8.444e-07,3.378e-05,8e-06,8e-05,,4.313e3,59.29,11.82
2918.0,nom,8.444e-07,3.378e-05,8e-06,8.444e-05,,4.282e3,57.74,14.46
2919.0,nom,8.444e-07,3.378e-05,8e-06,8.889e-05,,4.301e3,57.4,16.36
2920.0,nom,8.444e-07,3.378e-05,8e-06,9.333e-05,,4.319e3,57.04,18.29
2921.0,nom,8.444e-07,3.378e-05,8e-06,9.778e-05,,4.337e3,56.74,19.25
2922.0,nom,8.444e-07,3.378e-05,8e-06,0.0001022,,4.35e3,56.17,20.37
2923.0,nom,8.444e-07,3.378e-05,8e-06,0.00010669999999999999,,4.368e3,55.83,20.64
2924.0,nom,8.444e-07,3.378e-05,8e-06,0.0001111,,4.385e3,55.45,20.63
2925.0,nom,8.444e-07,3.378e-05,8e-06,0.00011559999999999999,,4.399e3,54.91,20.54
2926.0,nom,8.444e-07,3.378e-05,8e-06,0.00011999999999999999,,4.421e3,54.68,20.29
2927.0,nom,8.444e-07,3.378e-05,8.443999999999999e-06,0.0001,,4.17e3,55.81,20.6
2928.0,nom,8.444e-07,3.378e-05,8.443999999999999e-06,8e-05,,4.125e3,57.48,12.89
2929.0,nom,8.444e-07,3.378e-05,8.443999999999999e-06,8.444e-05,,4.134e3,57.09,15.05
2930.0,nom,8.444e-07,3.378e-05,8.443999999999999e-06,8.889e-05,,4.145e3,56.81,16.87
2931.0,nom,8.444e-07,3.378e-05,8.443999999999999e-06,9.333e-05,,4.157e3,56.47,18.58
2932.0,nom,8.444e-07,3.378e-05,8.443999999999999e-06,9.778e-05,,4.165e3,56.02,20.09
2933.0,nom,8.444e-07,3.378e-05,8.443999999999999e-06,0.0001022,,4.186e3,55.91,20.67
2934.0,nom,8.444e-07,3.378e-05,8.443999999999999e-06,0.00010669999999999999,,4.189e3,55.11,21.41
2935.0,nom,8.444e-07,3.378e-05,8.443999999999999e-06,0.0001111,,4.207e3,54.9,21.02
2936.0,nom,8.444e-07,3.378e-05,8.443999999999999e-06,0.00011559999999999999,,4.225e3,54.55,20.82
2937.0,nom,8.444e-07,3.378e-05,8.443999999999999e-06,0.00011999999999999999,,4.239e3,54.05,20.74
2938.0,nom,8.444e-07,3.378e-05,8.888999999999999e-06,0.0001,,4.057e3,55.1,21.33
2939.0,nom,8.444e-07,3.378e-05,8.888999999999999e-06,8e-05,,4.043e3,57.61,13.02
2940.0,nom,8.444e-07,3.378e-05,8.888999999999999e-06,8.444e-05,,4.025e3,56.43,15.73
2941.0,nom,8.444e-07,3.378e-05,8.888999999999999e-06,8.889e-05,,4.038e3,56.16,17.53
2942.0,nom,8.444e-07,3.378e-05,8.888999999999999e-06,9.333e-05,,4.044e3,55.63,19.71
2943.0,nom,8.444e-07,3.378e-05,8.888999999999999e-06,9.778e-05,,4.056e3,55.39,20.55
2944.0,nom,8.444e-07,3.378e-05,8.888999999999999e-06,0.0001022,,4.068e3,55.12,20.91
2945.0,nom,8.444e-07,3.378e-05,8.888999999999999e-06,0.00010669999999999999,,4.075e3,54.71,21.36
2946.0,nom,8.444e-07,3.378e-05,8.888999999999999e-06,0.0001111,,4.078e3,54.03,21.82
2947.0,nom,8.444e-07,3.378e-05,8.888999999999999e-06,0.00011559999999999999,,4.094e3,53.9,21.25
2948.0,nom,8.444e-07,3.378e-05,8.888999999999999e-06,0.00011999999999999999,,4.103e3,53.48,21.14
2949.0,nom,8.444e-07,3.378e-05,9.333e-06,0.0001,,3.957e3,54.57,21.44
2950.0,nom,8.444e-07,3.378e-05,9.333e-06,8e-05,,3.916e3,56.13,14.09
2951.0,nom,8.444e-07,3.378e-05,9.333e-06,8.444e-05,,3.923e3,55.75,16.32
2952.0,nom,8.444e-07,3.378e-05,9.333e-06,8.889e-05,,3.931e3,55.36,18.42
2953.0,nom,8.444e-07,3.378e-05,9.333e-06,9.333e-05,,3.944e3,55.17,19.64
2954.0,nom,8.444e-07,3.378e-05,9.333e-06,9.778e-05,,3.948e3,54.68,21.47
2955.0,nom,8.444e-07,3.378e-05,9.333e-06,0.0001022,,3.96e3,54.36,21.83
2956.0,nom,8.444e-07,3.378e-05,9.333e-06,0.00010669999999999999,,3.971e3,54.09,21.69
2957.0,nom,8.444e-07,3.378e-05,9.333e-06,0.0001111,,3.975e3,53.51,22.03
2958.0,nom,8.444e-07,3.378e-05,9.333e-06,0.00011559999999999999,,3.984e3,53.17,21.75
2959.0,nom,8.444e-07,3.378e-05,9.333e-06,0.00011999999999999999,,3.998e3,52.99,21.48
2960.0,nom,8.444e-07,3.378e-05,9.778e-06,0.0001,,3.857e3,53.83,22.19
2961.0,nom,8.444e-07,3.378e-05,9.778e-06,8e-05,,3.819e3,55.46,14.7
2962.0,nom,8.444e-07,3.378e-05,9.778e-06,8.444e-05,,3.826e3,55.06,16.93
2963.0,nom,8.444e-07,3.378e-05,9.778e-06,8.889e-05,,3.838e3,54.85,18.59
2964.0,nom,8.444e-07,3.378e-05,9.778e-06,9.333e-05,,3.845e3,54.5,20.22
2965.0,nom,8.444e-07,3.378e-05,9.778e-06,9.778e-05,,3.853e3,54.12,21.51
2966.0,nom,8.444e-07,3.378e-05,9.778e-06,0.0001022,,3.863e3,53.84,21.88
2967.0,nom,8.444e-07,3.378e-05,9.778e-06,0.00010669999999999999,,3.87e3,53.46,22.09
2968.0,nom,8.444e-07,3.378e-05,9.778e-06,0.0001111,,3.877e3,53.03,22.14
2969.0,nom,8.444e-07,3.378e-05,9.778e-06,0.00011559999999999999,,3.887e3,52.75,21.92
2970.0,nom,8.444e-07,3.378e-05,9.778e-06,0.00011999999999999999,,3.896e3,52.41,21.84
2971.0,nom,8.444e-07,3.378e-05,1.022e-05,0.0001,,3.763e3,53.37,22.04
2972.0,nom,8.444e-07,3.378e-05,1.022e-05,8e-05,,3.724e3,54.77,15.35
2973.0,nom,8.444e-07,3.378e-05,1.022e-05,8.444e-05,,3.735e3,54.5,17.25
2974.0,nom,8.444e-07,3.378e-05,1.022e-05,8.889e-05,,3.742e3,54.17,19.2
2975.0,nom,8.444e-07,3.378e-05,1.022e-05,9.333e-05,,3.75e3,53.85,20.75
2976.0,nom,8.444e-07,3.378e-05,1.022e-05,9.778e-05,,3.757e3,53.45,21.94
2977.0,nom,8.444e-07,3.378e-05,1.022e-05,0.0001022,,3.769e3,53.26,22.14
2978.0,nom,8.444e-07,3.378e-05,1.022e-05,0.00010669999999999999,,3.775e3,52.9,22.56
2979.0,nom,8.444e-07,3.378e-05,1.022e-05,0.0001111,,3.783e3,52.53,22.41
2980.0,nom,8.444e-07,3.378e-05,1.022e-05,0.00011559999999999999,,3.793e3,52.28,22.24
2981.0,nom,8.444e-07,3.378e-05,1.022e-05,0.00011999999999999999,,3.798e3,51.79,22.21
2982.0,nom,8.444e-07,3.378e-05,1.067e-05,0.0001,,3.673e3,52.78,22.43
2983.0,nom,8.444e-07,3.378e-05,1.067e-05,8e-05,,3.661e3,54.75,15.04
2984.0,nom,8.444e-07,3.378e-05,1.067e-05,8.444e-05,,3.642e3,53.78,17.97
2985.0,nom,8.444e-07,3.378e-05,1.067e-05,8.889e-05,,3.65e3,53.5,19.83
2986.0,nom,8.444e-07,3.378e-05,1.067e-05,9.333e-05,,3.66e3,53.24,21.16
2987.0,nom,8.444e-07,3.378e-05,1.067e-05,9.778e-05,,3.667e3,52.89,22.25
2988.0,nom,8.444e-07,3.378e-05,1.067e-05,0.0001022,,3.675e3,52.63,22.68
2989.0,nom,8.444e-07,3.378e-05,1.067e-05,0.00010669999999999999,,3.685e3,52.32,22.63
2990.0,nom,8.444e-07,3.378e-05,1.067e-05,0.0001111,,3.689e3,51.87,22.81
2991.0,nom,8.444e-07,3.378e-05,1.067e-05,0.00011559999999999999,,3.697e3,51.53,22.64
2992.0,nom,8.444e-07,3.378e-05,1.067e-05,0.00011999999999999999,,3.706e3,51.24,22.53
2993.0,nom,8.444e-07,3.378e-05,1.111e-05,0.0001,,3.581e3,52.04,23.36
2994.0,nom,8.444e-07,3.378e-05,1.111e-05,8e-05,,3.549e3,53.48,16.27
2995.0,nom,8.444e-07,3.378e-05,1.111e-05,8.444e-05,,3.556e3,53.18,18.39
2996.0,nom,8.444e-07,3.378e-05,1.111e-05,8.889e-05,,3.566e3,52.93,20.13
2997.0,nom,8.444e-07,3.378e-05,1.111e-05,9.333e-05,,3.573e3,52.62,21.66
2998.0,nom,8.444e-07,3.378e-05,1.111e-05,9.778e-05,,3.581e3,52.34,22.52
2999.0,nom,8.444e-07,3.378e-05,1.111e-05,0.0001022,,3.583e3,51.85,23.65
3000.0,nom,8.444e-07,3.378e-05,1.111e-05,0.00010669999999999999,,3.597e3,51.72,22.97
3001.0,nom,8.444e-07,3.378e-05,1.111e-05,0.0001111,,3.597e3,51.14,23.38
3002.0,nom,8.444e-07,3.378e-05,1.111e-05,0.00011559999999999999,,3.611e3,51.08,22.91
3003.0,nom,8.444e-07,3.378e-05,1.111e-05,0.00011999999999999999,,3.616e3,50.68,22.86
3004.0,nom,8.444e-07,3.378e-05,1.156e-05,0.0001,,3.498e3,51.49,23.57
3005.0,nom,8.444e-07,3.378e-05,1.156e-05,8e-05,,3.468e3,52.9,16.85
3006.0,nom,8.444e-07,3.378e-05,1.156e-05,8.444e-05,,3.473e3,52.56,18.93
3007.0,nom,8.444e-07,3.378e-05,1.156e-05,8.889e-05,,3.479e3,52.23,20.97
3008.0,nom,8.444e-07,3.378e-05,1.156e-05,9.333e-05,,3.49e3,52.04,22
3009.0,nom,8.444e-07,3.378e-05,1.156e-05,9.778e-05,,3.495e3,51.7,23.14
3010.0,nom,8.444e-07,3.378e-05,1.156e-05,0.0001022,,3.504e3,51.44,23.31
3011.0,nom,8.444e-07,3.378e-05,1.156e-05,0.00010669999999999999,,3.512e3,51.17,23.32
3012.0,nom,8.444e-07,3.378e-05,1.156e-05,0.0001111,,3.518e3,50.8,23.31
3013.0,nom,8.444e-07,3.378e-05,1.156e-05,0.00011559999999999999,,3.526e3,50.53,23.17
3014.0,nom,8.444e-07,3.378e-05,1.156e-05,0.00011999999999999999,,3.53e3,50.14,23.22
3015.0,nom,8.444e-07,3.378e-05,1.2e-05,0.0001,,3.417e3,50.95,23.84
3016.0,nom,8.444e-07,3.378e-05,1.2e-05,8e-05,,3.403e3,52.6,16.5
3017.0,nom,8.444e-07,3.378e-05,1.2e-05,8.444e-05,,3.393e3,51.9,19.53
3018.0,nom,8.444e-07,3.378e-05,1.2e-05,8.889e-05,,3.399e3,51.66,21.31
3019.0,nom,8.444e-07,3.378e-05,1.2e-05,9.333e-05,,3.409e3,51.47,22.32
3020.0,nom,8.444e-07,3.378e-05,1.2e-05,9.778e-05,,3.415e3,51.12,23.25
3021.0,nom,8.444e-07,3.378e-05,1.2e-05,0.0001022,,3.421e3,50.85,23.99
3022.0,nom,8.444e-07,3.378e-05,1.2e-05,0.00010669999999999999,,3.426e3,50.45,23.98
3023.0,nom,8.444e-07,3.378e-05,1.2e-05,0.0001111,,3.434e3,50.2,23.69
3024.0,nom,8.444e-07,3.378e-05,1.2e-05,0.00011559999999999999,,3.442e3,49.95,23.51
3025.0,nom,8.444e-07,3.378e-05,1.2e-05,0.00011999999999999999,,3.449e3,49.63,23.46
3026.0,nom,8.444e-07,3.556e-05,1e-05,0.0001,,3.805e3,53.1,21.7
3027.0,nom,8.444e-07,3.556e-05,1e-05,8e-05,,3.765e3,54.5,14.79
3028.0,nom,8.444e-07,3.556e-05,1e-05,8.444e-05,,3.774e3,54.26,16.88
3029.0,nom,8.444e-07,3.556e-05,1e-05,8.889e-05,,3.785e3,53.95,18.81
3030.0,nom,8.444e-07,3.556e-05,1e-05,9.333e-05,,3.79e3,53.5,20.99
3031.0,nom,8.444e-07,3.556e-05,1e-05,9.778e-05,,3.801e3,53.26,21.47
3032.0,nom,8.444e-07,3.556e-05,1e-05,0.0001022,,3.807e3,52.89,21.93
3033.0,nom,8.444e-07,3.556e-05,1e-05,0.00010669999999999999,,3.814e3,52.47,21.87
3034.0,nom,8.444e-07,3.556e-05,1e-05,0.0001111,,3.822e3,52.13,21.48
3035.0,nom,8.444e-07,3.556e-05,1e-05,0.00011559999999999999,,3.829e3,51.72,21.22
3036.0,nom,8.444e-07,3.556e-05,1e-05,0.00011999999999999999,,3.839e3,51.4,20.96
3037.0,nom,8.444e-07,3.556e-05,8e-06,0.0001,,4.332e3,55.73,19.87
3038.0,nom,8.444e-07,3.556e-05,8e-06,8e-05,,4.26e3,57.43,12.01
3039.0,nom,8.444e-07,3.556e-05,8e-06,8.444e-05,,4.279e3,57.18,14.04
3040.0,nom,8.444e-07,3.556e-05,8e-06,8.889e-05,,4.292e3,56.72,16.34
3041.0,nom,8.444e-07,3.556e-05,8e-06,9.333e-05,,4.306e3,56.27,18.45
3042.0,nom,8.444e-07,3.556e-05,8e-06,9.778e-05,,4.325e3,55.97,19.55
3043.0,nom,8.444e-07,3.556e-05,8e-06,0.0001022,,4.339e3,55.5,20.37
3044.0,nom,8.444e-07,3.556e-05,8e-06,0.00010669999999999999,,4.355e3,55.14,20.01
3045.0,nom,8.444e-07,3.556e-05,8e-06,0.0001111,,4.378e3,54.61,19.68
3046.0,nom,8.444e-07,3.556e-05,8e-06,0.00011559999999999999,,4.384e3,54.14,19.68
3047.0,nom,8.444e-07,3.556e-05,8e-06,0.00011999999999999999,,4.406e3,53.9,19.3
3048.0,nom,8.444e-07,3.556e-05,8.443999999999999e-06,0.0001,,4.163e3,55.13,20.58
3049.0,nom,8.444e-07,3.556e-05,8.443999999999999e-06,8e-05,,4.114e3,56.64,12.91
3050.0,nom,8.444e-07,3.556e-05,8.443999999999999e-06,8.444e-05,,4.129e3,56.47,14.87
3051.0,nom,8.444e-07,3.556e-05,8.443999999999999e-06,8.889e-05,,4.139e3,56.1,17.03
3052.0,nom,8.444e-07,3.556e-05,8.443999999999999e-06,9.333e-05,,4.148e3,55.72,18.93
3053.0,nom,8.444e-07,3.556e-05,8.443999999999999e-06,9.778e-05,,4.157e3,55.3,20.4
3054.0,nom,8.444e-07,3.556e-05,8.443999999999999e-06,0.0001022,,4.17e3,55.02,20.68
3055.0,nom,8.444e-07,3.556e-05,8.443999999999999e-06,0.00010669999999999999,,4.18e3,54.5,20.75
3056.0,nom,8.444e-07,3.556e-05,8.443999999999999e-06,0.0001111,,4.195e3,54.09,20.41
3057.0,nom,8.444e-07,3.556e-05,8.443999999999999e-06,0.00011559999999999999,,4.209e3,53.63,20.05
3058.0,nom,8.444e-07,3.556e-05,8.443999999999999e-06,0.00011999999999999999,,4.226e3,53.29,19.73
3059.0,nom,8.444e-07,3.556e-05,8.888999999999999e-06,0.0001,,4.056e3,54.62,20.69
3060.0,nom,8.444e-07,3.556e-05,8.888999999999999e-06,8e-05,,4.011e3,56.13,13.32
3061.0,nom,8.444e-07,3.556e-05,8.888999999999999e-06,8.444e-05,,4.022e3,55.74,15.67
3062.0,nom,8.444e-07,3.556e-05,8.888999999999999e-06,8.889e-05,,4.03e3,55.45,17.72
3063.0,nom,8.444e-07,3.556e-05,8.888999999999999e-06,9.333e-05,,4.04e3,55.07,19.53
3064.0,nom,8.444e-07,3.556e-05,8.888999999999999e-06,9.778e-05,,4.048e3,54.68,21.03
3065.0,nom,8.444e-07,3.556e-05,8.888999999999999e-06,0.0001022,,4.058e3,54.38,21.03
3066.0,nom,8.444e-07,3.556e-05,8.888999999999999e-06,0.00010669999999999999,,4.068e3,53.98,20.96
3067.0,nom,8.444e-07,3.556e-05,8.888999999999999e-06,0.0001111,,4.079e3,53.69,20.51
3068.0,nom,8.444e-07,3.556e-05,8.888999999999999e-06,0.00011559999999999999,,4.089e3,53.37,20.21
3069.0,nom,8.444e-07,3.556e-05,8.888999999999999e-06,0.00011999999999999999,,4.095e3,52.82,20.12
3070.0,nom,8.444e-07,3.556e-05,9.333e-06,0.0001,,3.951e3,53.96,21.29
3071.0,nom,8.444e-07,3.556e-05,9.333e-06,8e-05,,3.911e3,55.51,13.86
3072.0,nom,8.444e-07,3.556e-05,9.333e-06,8.444e-05,,3.919e3,55.14,16.21
3073.0,nom,8.444e-07,3.556e-05,9.333e-06,8.889e-05,,3.929e3,54.85,18.32
3074.0,nom,8.444e-07,3.556e-05,9.333e-06,9.333e-05,,3.936e3,54.45,20.07
3075.0,nom,8.444e-07,3.556e-05,9.333e-06,9.778e-05,,3.946e3,54.13,21.09
3076.0,nom,8.444e-07,3.556e-05,9.333e-06,0.0001022,,3.955e3,53.79,21.36
3077.0,nom,8.444e-07,3.556e-05,9.333e-06,0.00010669999999999999,,3.962e3,53.35,21.41
3078.0,nom,8.444e-07,3.556e-05,9.333e-06,0.0001111,,3.975e3,53.18,20.77
3079.0,nom,8.444e-07,3.556e-05,9.333e-06,0.00011559999999999999,,3.98e3,52.67,20.68
3080.0,nom,8.444e-07,3.556e-05,9.333e-06,0.00011999999999999999,,3.988e3,52.22,20.46
3081.0,nom,8.444e-07,3.556e-05,9.778e-06,0.0001,,3.848e3,53.21,22.06
3082.0,nom,8.444e-07,3.556e-05,9.778e-06,8e-05,,3.811e3,54.78,14.58
3083.0,nom,8.444e-07,3.556e-05,9.778e-06,8.444e-05,,3.82e3,54.44,16.93
3084.0,nom,8.444e-07,3.556e-05,9.778e-06,8.889e-05,,3.829e3,54.13,18.99
3085.0,nom,8.444e-07,3.556e-05,9.778e-06,9.333e-05,,3.839e3,53.79,20.61
3086.0,nom,8.444e-07,3.556e-05,9.778e-06,9.778e-05,,3.847e3,53.54,21.43
3087.0,nom,8.444e-07,3.556e-05,9.778e-06,0.0001022,,3.855e3,53.18,21.79
3088.0,nom,8.444e-07,3.556e-05,9.778e-06,0.00010669999999999999,,3.865e3,52.85,21.5
3089.0,nom,8.444e-07,3.556e-05,9.778e-06,0.0001111,,3.872e3,52.47,21.25
3090.0,nom,8.444e-07,3.556e-05,9.778e-06,0.00011559999999999999,,3.884e3,52.27,20.84
3091.0,nom,8.444e-07,3.556e-05,9.778e-06,0.00011999999999999999,,3.888e3,51.69,20.78
3092.0,nom,8.444e-07,3.556e-05,1.022e-05,0.0001,,3.756e3,52.76,22.11
3093.0,nom,8.444e-07,3.556e-05,1.022e-05,8e-05,,3.72e3,54.2,15.01
3094.0,nom,8.444e-07,3.556e-05,1.022e-05,8.444e-05,,3.728e3,53.87,17.31
3095.0,nom,8.444e-07,3.556e-05,1.022e-05,8.889e-05,,3.734e3,53.49,19.63
3096.0,nom,8.444e-07,3.556e-05,1.022e-05,9.333e-05,,3.743e3,53.22,21.04
3097.0,nom,8.444e-07,3.556e-05,1.022e-05,9.778e-05,,3.753e3,52.93,21.81
3098.0,nom,8.444e-07,3.556e-05,1.022e-05,0.0001022,,3.761e3,52.59,22.03
3099.0,nom,8.444e-07,3.556e-05,1.022e-05,0.00010669999999999999,,3.768e3,52.25,21.9
3100.0,nom,8.444e-07,3.556e-05,1.022e-05,0.0001111,,3.775e3,51.85,21.62
3101.0,nom,8.444e-07,3.556e-05,1.022e-05,0.00011559999999999999,,3.782e3,51.44,21.36
3102.0,nom,8.444e-07,3.556e-05,1.022e-05,0.00011999999999999999,,3.791e3,51.13,21.12
3103.0,nom,8.444e-07,3.556e-05,1.067e-05,0.0001,,3.66e3,51.96,23.23
3104.0,nom,8.444e-07,3.556e-05,1.067e-05,8e-05,,3.629e3,53.53,15.64
3105.0,nom,8.444e-07,3.556e-05,1.067e-05,8.444e-05,,3.636e3,53.23,18.1
3106.0,nom,8.444e-07,3.556e-05,1.067e-05,8.889e-05,,3.644e3,52.9,20.05
3107.0,nom,8.444e-07,3.556e-05,1.067e-05,9.333e-05,,3.653e3,52.62,21.48
3108.0,nom,8.444e-07,3.556e-05,1.067e-05,9.778e-05,,3.66e3,52.27,22.65
3109.0,nom,8.444e-07,3.556e-05,1.067e-05,0.0001022,,3.67e3,52.01,22.31
3110.0,nom,8.444e-07,3.556e-05,1.067e-05,0.00010669999999999999,,3.676e3,51.61,22.21
3111.0,nom,8.444e-07,3.556e-05,1.067e-05,0.0001111,,3.685e3,51.34,21.85
3112.0,nom,8.444e-07,3.556e-05,1.067e-05,0.00011559999999999999,,3.695e3,51.12,21.52
3113.0,nom,8.444e-07,3.556e-05,1.067e-05,0.00011999999999999999,,3.697e3,50.55,21.46
3114.0,nom,8.444e-07,3.556e-05,1.111e-05,0.0001,,3.58e3,51.62,22.56
3115.0,nom,8.444e-07,3.556e-05,1.111e-05,8e-05,,3.544e3,52.93,16.1
3116.0,nom,8.444e-07,3.556e-05,1.111e-05,8.444e-05,,3.552e3,52.64,18.33
3117.0,nom,8.444e-07,3.556e-05,1.111e-05,8.889e-05,,3.555e3,52.19,21.13
3118.0,nom,8.444e-07,3.556e-05,1.111e-05,9.333e-05,,3.566e3,52.01,22.05
3119.0,nom,8.444e-07,3.556e-05,1.111e-05,9.778e-05,,3.576e3,51.79,22.37
3120.0,nom,8.444e-07,3.556e-05,1.111e-05,0.0001022,,3.583e3,51.45,22.62
3121.0,nom,8.444e-07,3.556e-05,1.111e-05,0.00010669999999999999,,3.589e3,51.07,22.54
3122.0,nom,8.444e-07,3.556e-05,1.111e-05,0.0001111,,3.596e3,50.74,22.22
3123.0,nom,8.444e-07,3.556e-05,1.111e-05,0.00011559999999999999,,3.605e3,50.5,21.87
3124.0,nom,8.444e-07,3.556e-05,1.111e-05,0.00011999999999999999,,3.61e3,50.08,21.78
3125.0,nom,8.444e-07,3.556e-05,1.156e-05,0.0001,,3.495e3,51.02,23.01
3126.0,nom,8.444e-07,3.556e-05,1.156e-05,8e-05,,3.462e3,52.34,16.53
3127.0,nom,8.444e-07,3.556e-05,1.156e-05,8.444e-05,,3.466e3,51.97,19.1
3128.0,nom,8.444e-07,3.556e-05,1.156e-05,8.889e-05,,3.474e3,51.68,21.14
3129.0,nom,8.444e-07,3.556e-05,1.156e-05,9.333e-05,,3.483e3,51.45,22.29
3130.0,nom,8.444e-07,3.556e-05,1.156e-05,9.778e-05,,3.489e3,51.13,23.16
3131.0,nom,8.444e-07,3.556e-05,1.156e-05,0.0001022,,3.499e3,50.92,22.82
3132.0,nom,8.444e-07,3.556e-05,1.156e-05,0.00010669999999999999,,3.504e3,50.51,22.81
3133.0,nom,8.444e-07,3.556e-05,1.156e-05,0.0001111,,3.514e3,50.34,22.36
3134.0,nom,8.444e-07,3.556e-05,1.156e-05,0.00011559999999999999,,3.517e3,49.84,22.25
3135.0,nom,8.444e-07,3.556e-05,1.156e-05,0.00011999999999999999,,3.524e3,49.54,22.08
3136.0,nom,8.444e-07,3.556e-05,1.2e-05,0.0001,,3.415e3,50.53,23.09
3137.0,nom,8.444e-07,3.556e-05,1.2e-05,8e-05,,3.382e3,51.7,17.13
3138.0,nom,8.444e-07,3.556e-05,1.2e-05,8.444e-05,,3.393e3,51.57,19.08
3139.0,nom,8.444e-07,3.556e-05,1.2e-05,8.889e-05,,3.394e3,51.11,21.59
3140.0,nom,8.444e-07,3.556e-05,1.2e-05,9.333e-05,,3.403e3,50.88,22.66
3141.0,nom,8.444e-07,3.556e-05,1.2e-05,9.778e-05,,3.412e3,50.67,22.98
3142.0,nom,8.444e-07,3.556e-05,1.2e-05,0.0001022,,3.418e3,50.35,23.16
3143.0,nom,8.444e-07,3.556e-05,1.2e-05,0.00010669999999999999,,3.423e3,49.99,23.06
3144.0,nom,8.444e-07,3.556e-05,1.2e-05,0.0001111,,3.429e3,49.63,22.8
3145.0,nom,8.444e-07,3.556e-05,1.2e-05,0.00011559999999999999,,3.439e3,49.51,22.46
3146.0,nom,8.444e-07,3.556e-05,1.2e-05,0.00011999999999999999,,3.442e3,49.03,22.36
3147.0,nom,8.444e-07,3.733e-05,1e-05,0.0001,,3.802e3,52.63,20.92
3148.0,nom,8.444e-07,3.733e-05,1e-05,8e-05,,3.762e3,53.96,14.46
3149.0,nom,8.444e-07,3.733e-05,1e-05,8.444e-05,,3.769e3,53.67,16.84
3150.0,nom,8.444e-07,3.733e-05,1e-05,8.889e-05,,3.78e3,53.4,18.69
