Point,Corner,C1,L1,C2,L2,Pass/Fail,fc,PhaseMargin,GainMargin
59.0,nom,1e-06,4e-05,9.778e-06,8.889e-05,,3.765e3,52.48,15.25
60.0,nom,1e-06,4e-05,9.778e-06,9.333e-05,,3.776e3,52.29,13.93
61.0,nom,1e-06,4e-05,9.778e-06,9.778e-05,,3.787e3,51.97,13.15
62.0,nom,1e-06,4e-05,9.778e-06,0.0001022,,3.798e3,51.68,12.94
63.0,nom,1e-06,4e-05,9.778e-06,0.00010669999999999999,,3.807e3,51.35,12.99
64.0,nom,1e-06,4e-05,9.778e-06,0.0001111,,3.815e3,50.94,13.15
65.0,nom,1e-06,4e-05,9.778e-06,0.00011559999999999999,,3.826e3,50.69,13.58
66.0,nom,1e-06,4e-05,9.778e-06,0.00011999999999999999,,3.833e3,50.14,13.76
67.0,nom,1e-06,4e-05,1.022e-05,0.0001,,3.701e3,51.28,13.34
68.0,nom,1e-06,4e-05,1.022e-05,8e-05,,3.658e3,52.58,21.65
69.0,nom,1e-06,4e-05,1.022e-05,8.444e-05,,3.668e3,52.32,17.81
70.0,nom,1e-06,4e-05,1.022e-05,8.889e-05,,3.674e3,51.87,15.35
71.0,nom,1e-06,4e-05,1.022e-05,9.333e-05,,3.683e3,51.55,13.94
72.0,nom,1e-06,4e-05,1.022e-05,9.778e-05,,3.694e3,51.34,13.34
73.0,nom,1e-06,4e-05,1.022e-05,0.0001022,,3.704e3,51.07,13.1
74.0,nom,1e-06,4e-05,1.022e-05,0.00010669999999999999,,3.714e3,50.79,13.32
75.0,nom,1e-06,4e-05,1.022e-05,0.0001111,,3.723e3,50.4,13.55
76.0,nom,1e-06,4e-05,1.022e-05,0.00011559999999999999,,3.731e3,50.1,14.04
77.0,nom,1e-06,4e-05,1.022e-05,0.00011999999999999999,,3.742e3,49.77,14.35
78.0,nom,1e-06,4e-05,1.067e-05,0.0001,,3.613e3,50.72,13.66
79.0,nom,1e-06,4e-05,1.067e-05,8e-05,,3.569e3,51.9,22.1
80.0,nom,1e-06,4e-05,1.067e-05,8.444e-05,,3.583e3,51.76,17.83
81.0,nom,1e-06,4e-05,1.067e-05,8.889e-05,,3.592e3,51.31,15.47
82.0,nom,1e-06,4e-05,1.067e-05,9.333e-05,,3.595e3,50.96,14.08
83.0,nom,1e-06,4e-05,1.067e-05,9.778e-05,,3.608e3,50.84,13.72
84.0,nom,1e-06,4e-05,1.067e-05,0.0001022,,3.615e3,50.46,13.45
85.0,nom,1e-06,4e-05,1.067e-05,0.00010669999999999999,,3.626e3,50.3,13.86
86.0,nom,1e-06,4e-05,1.067e-05,0.0001111,,3.634e3,49.88,13.96
87.0,nom,1e-06,4e-05,1.067e-05,0.00011559999999999999,,3.637e3,49.3,13.87
88.0,nom,1e-06,4e-05,1.067e-05,0.00011999999999999999,,3.647e3,49.04,14.42
89.0,nom,1e-06,4e-05,1.111e-05,0.0001,,3.529e3,50.22,14.03
90.0,nom,1e-06,4e-05,1.111e-05,8e-05,,3.491e3,51.47,21.11
91.0,nom,1e-06,4e-05,1.111e-05,8.444e-05,,3.499e3,51.19,17.91
92.0,nom,1e-06,4e-05,1.111e-05,8.889e-05,,3.504e3,50.85,15.91
93.0,nom,1e-06,4e-05,1.111e-05,9.333e-05,,3.513e3,50.5,14.48
94.0,nom,1e-06,4e-05,1.111e-05,9.778e-05,,3.524e3,50.29,14.02
95.0,nom,1e-06,4e-05,1.111e-05,0.0001022,,3.529e3,49.87,13.7
96.0,nom,1e-06,4e-05,1.111e-05,0.00010669999999999999,,3.541e3,49.75,14.1
97.0,nom,1e-06,4e-05,1.111e-05,0.0001111,,3.548e3,49.35,14.27
98.0,nom,1e-06,4e-05,1.111e-05,0.00011559999999999999,,3.551e3,48.78,14.23
99.0,nom,1e-06,4e-05,1.111e-05,0.00011999999999999999,,3.566e3,48.77,15.15
100.0,nom,1e-06,4e-05,1.156e-05,0.0001,,3.443e3,49.47,13.95
101.0,nom,1e-06,4e-05,1.156e-05,8e-05,,3.41e3,50.85,21.39
102.0,nom,1e-06,4e-05,1.156e-05,8.444e-05,,3.418e3,50.6,18.05
103.0,nom,1e-06,4e-05,1.156e-05,8.889e-05,,3.427e3,50.37,15.99
104.0,nom,1e-06,4e-05,1.156e-05,9.333e-05,,3.436e3,49.8,14.68
105.0,nom,1e-06,4e-05,1.156e-05,9.778e-05,,3.443e3,49.81,14.32
106.0,nom,1e-06,4e-05,1.156e-05,0.0001022,,3.45e3,49.46,14.2
107.0,nom,1e-06,4e-05,1.156e-05,0.00010669999999999999,,3.457e3,49.11,14.24
108.0,nom,1e-06,4e-05,1.156e-05,0.0001111,,3.461e3,48.62,14.26
109.0,nom,1e-06,4e-05,1.156e-05,0.00011559999999999999,,3.469e3,48.3,14.6
110.0,nom,1e-06,4e-05,1.156e-05,0.00011999999999999999,,3.478e3,48.07,15.19
111.0,nom,1e-06,4e-05,1.2e-05,0.0001,,3.367e3,49.05,14.47
112.0,nom,1e-06,4e-05,1.2e-05,8e-05,,3.33e3,50.22,21.77
113.0,nom,1e-06,4e-05,1.2e-05,8.444e-05,,3.342e3,50.08,18.09
114.0,nom,1e-06,4e-05,1.2e-05,8.889e-05,,3.348e3,49.81,16.2
115.0,nom,1e-06,4e-05,1.2e-05,9.333e-05,,3.357e3,49.54,15.11
116.0,nom,1e-06,4e-05,1.2e-05,9.778e-05,,3.364e3,49.3,14.79
117.0,nom,1e-06,4e-05,1.2e-05,0.0001022,,3.369e3,48.86,14.36
118.0,nom,1e-06,4e-05,1.2e-05,0.00010669999999999999,,3.38e3,48.72,14.79
119.0,nom,1e-06,4e-05,1.2e-05,0.0001111,,3.384e3,48.24,14.8
120.0,nom,1e-06,4e-05,1.2e-05,0.00011559999999999999,,3.394e3,48.05,15.36
121.0,nom,1e-06,4e-05,1.2e-05,0.00011999999999999999,,3.398e3,47.6,15.64
122.0,nom,1e-06,3.2e-05,1e-05,0.0001,,3.789e3,54.6,20
123.0,nom,1e-06,3.2e-05,1e-05,8e-05,,3.726e3,55.38,24.82
124.0,nom,1e-06,3.2e-05,1e-05,8.444e-05,,3.736e3,55.01,24.08
125.0,nom,1e-06,3.2e-05,1e-05,8.889e-05,,3.743e3,54.72,22.58
126.0,nom,1e-06,3.2e-05,1e-05,9.333e-05,,3.756e3,54.48,20.91
127.0,nom,1e-06,3.2e-05,1e-05,9.778e-05,,3.767e3,54.21,20.07
128.0,nom,1e-06,3.2e-05,1e-05,0.0001022,,3.773e3,53.76,19.63
129.0,nom,1e-06,3.2e-05,1e-05,0.00010669999999999999,,3.784e3,53.49,19.58
130.0,nom,1e-06,3.2e-05,1e-05,0.0001111,,3.796e3,53.21,19.73
131.0,nom,1e-06,3.2e-05,1e-05,0.00011559999999999999,,3.803e3,52.78,19.85
132.0,nom,1e-06,3.2e-05,1e-05,0.00011999999999999999,,3.816e3,52.56,20.26
133.0,nom,1e-06,3.2e-05,8e-06,0.0001,,4.31e3,58.02,18.46
134.0,nom,1e-06,3.2e-05,8e-06,8e-05,,4.188e3,58.61,21.59
135.0,nom,1e-06,3.2e-05,8e-06,8.444e-05,,4.203e3,58.22,23.49
136.0,nom,1e-06,3.2e-05,8e-06,8.889e-05,,4.218e3,57.74,22.21
137.0,nom,1e-06,3.2e-05,8e-06,9.333e-05,,4.24e3,57.53,20.02
138.0,nom,1e-06,3.2e-05,8e-06,9.778e-05,,4.256e3,56.97,18.82
139.0,nom,1e-06,3.2e-05,8e-06,0.0001022,,4.276e3,56.67,18.17
140.0,nom,1e-06,3.2e-05,8e-06,0.00010669999999999999,,4.294e3,56.24,17.86
141.0,nom,1e-06,3.2e-05,8e-06,0.0001111,,4.313e3,55.84,17.85
142.0,nom,1e-06,3.2e-05,8e-06,0.00011559999999999999,,4.327e3,55.29,17.97
143.0,nom,1e-06,3.2e-05,8e-06,0.00011999999999999999,,4.348e3,54.82,18.08
144.0,nom,1e-06,3.2e-05,8.443999999999999e-06,0.0001,,4.123e3,56.29,18.76
145.0,nom,1e-06,3.2e-05,8.443999999999999e-06,8e-05,,4.072e3,57.88,22.25
146.0,nom,1e-06,3.2e-05,8.443999999999999e-06,8.444e-05,,4.084e3,57.54,23.21
147.0,nom,1e-06,3.2e-05,8.443999999999999e-06,8.889e-05,,4.089e3,57.04,22.41
148.0,nom,1e-06,3.2e-05,8.443999999999999e-06,9.333e-05,,4.105e3,56.81,20.23
149.0,nom,1e-06,3.2e-05,8.443999999999999e-06,9.778e-05,,4.118e3,56.52,19.1
150.0,nom,1e-06,3.2e-05,8.443999999999999e-06,0.0001022,,4.124e3,55.92,18.46
151.0,nom,1e-06,3.2e-05,8.443999999999999e-06,0.00010669999999999999,,4.139e3,55.68,18.27
152.0,nom,1e-06,3.2e-05,8.443999999999999e-06,0.0001111,,4.152e3,55.35,18.29
153.0,nom,1e-06,3.2e-05,8.443999999999999e-06,0.00011559999999999999,,4.163e3,54.93,18.44
154.0,nom,1e-06,3.2e-05,8.443999999999999e-06,0.00011999999999999999,,4.177e3,54.52,18.68
155.0,nom,1e-06,3.2e-05,8.888999999999999e-06,0.0001,,4.042e3,56.59,19.21
156.0,nom,1e-06,3.2e-05,8.888999999999999e-06,8e-05,,3.966e3,57.12,23.45
157.0,nom,1e-06,3.2e-05,8.888999999999999e-06,8.444e-05,,3.978e3,56.8,23.8
158.0,nom,1e-06,3.2e-05,8.888999999999999e-06,8.889e-05,,3.988e3,56.45,22.03
159.0,nom,1e-06,3.2e-05,8.888999999999999e-06,9.333e-05,,3.996e3,56.02,20.48
160.0,nom,1e-06,3.2e-05,8.888999999999999e-06,9.778e-05,,4.008e3,55.71,19.38
